"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that new user gets empty income list","7","Get income returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetIncome","Income","",""
"Verify that recent transactions can be retrieved","8","Get recent transactions successfully","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that expense creation fails without authentication","3","Expense creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that income creation fails with negative amount","13","Income creation with negative amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateIncome","Income","",""
"Verify that login fails when password is missing","5","Login with missing password","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that new user gets empty budget list","9","Get budgets returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetBudgets","Budget","",""
"Verify health check endpoint returns healthy status","4","Integration test - Health check","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that new user gets empty expense list","8","Get expenses returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that dashboard summary fails without authentication","3","Get dashboard summary without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that expense retrieval fails without authentication","3","Get expenses without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that an expense can be deleted","32","Delete expense successfully","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that a registered user can login with valid credentials","277","Successful user login","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that income creation fails with invalid date format","7","Income creation with invalid date format","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that recent transactions fails without authentication","3","Get recent transactions without authentication","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that dashboard summary returns correct data structure","7","Get dashboard summary successfully","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that income creation fails when amount is missing","6","Income creation with missing amount","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
